"기준_년_코드(STDR_YY_CODE_SE)","기준_분기_코드(STDR_QU_CODE_SE)","블록코드(BLCK_CODE_SE)","서비스업종코드(SVC_INDUTY_CODE_SE)","분기_매출금액(THSMON_SELNG_AMOUNT_AM)","분기_매출건수(THSMON_SELNG_CO)","주중_매출비율(MDWK_SELNG_RATE)","주말_매출비율(WKEND_SELNG_RATE)","월요일_매출비율(MON_SELNG_RATE)","화요일_매출비율(TUES_SELNG_RATE)","수요일_매출비율(WED_SELNG_RATE)","목요일_매출비율(THUR_SELNG_RATE)","금요일_매출비율(FRI_SELNG_RATE)","토요일_매출비율(SAT_SELNG_RATE)","일요일_매출비율(SUN_SELNG_RATE)","시간대00~06매출비율(TMZON_00_06_SELNG_RATE)","시간대06~11매출비율(TMZON_06_11_SELNG_RATE)","시간대11~14매출비율(TMZON_11_14_SELNG_RATE)","시간대14~17매출비율(TMZON_14_17_SELNG_RATE)","시간대17~21매출비율(TMZON_17_21_SELNG_RATE)","시간대21~24매출비율(TMZON_21_24_SELNG_RATE)","남성_매출비율(ML_SELNG_RATE)","여성_매출비율(FML_SELNG_RATE)","연령대10_매출비율(AGRDE_10_SELNG_RATE)","연령대20_매출비율(AGRDE_20_SELNG_RATE)","연령대30_매출비율(AGRDE_30_SELNG_RATE)","연령대40_매출비율(AGRDE_40_SELNG_RATE)","연령대50_매출비율(AGRDE_50_SELNG_RATE)","연령대60이상_매출비율(AGRDE_60_ABOVE_SELNG_RATE)","주중_매출금액(MDWK_SELNG_AMT)","주말_매출금액(WKEND_SELNG_AMT)","월요일_매출금액(MON_SELNG_AMT)","화요일_매출금액(TUES_SELNG_AMT)","수요일_매출금액(WED_SELNG_AMT)","목요일_매출금액(THUR_SELNG_AMT)","금요일_매출금액(FRI_SELNG_AMT)","토요일_매출금액(SAT_SELNG_AMT)","일요일_매출금액(SUN_SELNG_AMT)","시간대00~06매출금액(TMZON_00_06_SELNG_AMT)","시간대06~11매출금액(TMZON_06_11_SELNG_AMT)","시간대11~14매출금액(TMZON_11_14_SELNG_AMT)","시간대14~17매출금액(TMZON_14_17_SELNG_AMT)","시간대17~21매출금액(TMZON_17_21_SELNG_AMT)","시간대21~24매출금액(TMZON_21_24_SELNG_AMT)","남성_매출금액(ML_SELNG_AMT)","여성_매출금액(FML_SELNG_AMT)","연령대10_매출금액(AGRDE_10_SELNG_AMT)","연령대20_매출금액(AGRDE_20_SELNG_AMT)","연령대30_매출금액(AGRDE_30_SELNG_AMT)","연령대40_매출금액(AGRDE_40_SELNG_AMT)","연령대50_매출금액(AGRDE_50_SELNG_AMT)","연령대60이상_매출금액(AGRDE_60_ABOVE_SELNG_AMT)","주중_매출건수(MDWK_SELNG_CO)","주말_매출건수(WKEND_SELNG_CO)","월요일_매출건수(MON_SELNG_CO)","화요일_매출건수(TUES_SELNG_CO)","수요일_매출건수(WED_SELNG_CO)","목요일_매출건수(THUR_SELNG_CO)","금요일_매출건수(FRI_SELNG_CO)","토요일_매출건수(SAT_SELNG_CO)","일요일_매출건수(SUN_SELNG_CO)","시간대00~06매출건수(TMZON_00_06_SELNG_CO)","시간대06~11매출건수(TMZON_06_11_SELNG_CO)","시간대11~14매출건수(TMZON_11_14_SELNG_CO)","시간대14~17매출건수(TMZON_14_17_SELNG_CO)","시간대17~21매출건수(TMZON_17_21_SELNG_CO)","시간대21~24매출건수(TMZON_21_24_SELNG_CO)","남성_매출건수(ML_SELNG_CO)","여성_매출건수(FML_SELNG_CO)","연령대10_매출건수(AGRDE_10_SELNG_CO)","연령대20_매출건수(AGRDE_20_SELNG_CO)","연령대30_매출건수(AGRDE_30_SELNG_CO)","연령대40_매출건수(AGRDE_40_SELNG_CO)","연령대50_매출건수(AGRDE_50_SELNG_CO)","연령대60이상_매출건수(AGRDE_60_ABOVE_SELNG_CO)","점포수(STOR_CO)","적재일시(LDADNG_DT)"
"2018","4","1*3*1*","CS300005",6000000,4966,58.3,20,9.4,11.3,12.5,13.7,15.9,25.2,3.3,0,17.1,64.6,5.2,41.6,0,44,30,0,3.8,17.1,61.7,7.4,8.3,238517616,10190504,2161826,34183469,107827,996449,0,2163910,3533316,0,7133316,3030464,22824292,9585327,1823472,5974830,12680147,1551079,0,8463375,56050797,11705963,1845632,1129,454,9960,3593,24,2327,321,364,139,0,5,3442,0,9349,0,1998,1283,0,20,346,48,13,1569,0,"2019-09-20 14:26:16"
"2019","3","1*9*4","CS100001",203751975,634,67.4,21.5,13.2,21.7,14.2,21.7,12.9,0,0,0,6.9,1.2,29.2,22.3,11,0,41.8,0,20.8,17,13.9,0,16.7,538946248,29224058,0,14255409,458279,102796013,2059295,107751104,159394387,0,0,195222821,46528378,20128623,41226441,80713075,0,0,6072347,16000670,376214,4393295,10250142,15181,18,46,1943,13423,202,97,105,0,0,58,1985,317,364,28,16419,12165,0,575,35939,27,2486,0,27,"2019-09-20 14:26:16"
"2019","3","1*6*3","CS300007",1312651,160,65.4,0,13.3,17.2,19.6,11.7,11.7,17.1,15.3,5.7,6.6,21.3,0,28.4,38.8,40.4,76,0,0,14.6,9.4,25.2,28,26154305,3820408,6903132,4061086,2322035,1704699,27912916,16141042,3647212,0,340341,343443937,0,5679243,1685599,18501503,119609956,89538,50903273,20246264,76078615,29449774,0,8084,7675,562,36,0,135,220,225,0,298,0,102,49,8200,0,311,4167,0,0,242,0,25,2777,1,"2019-09-20 14:26:16"
"2015","1","2*9*4*","CS300012",168479627,61,72.4,18.9,14,13.6,15.8,17.5,14.6,0,0,0,17.2,44.6,5.6,15.4,0,61.3,34.1,0,57.8,38.8,24,31.1,8.1,89876612,117420779,4548807,828079,4382698,48191706,77274865,14343944,14993263,0,20009361,1882641,88535637,25544390,47850751,45012902,6352673,16183398,1750131,54706142,4947832,1680289,1418021,697,2171,0,2974,55,2556,1264,98,0,0,69,3048,10,2300,1561,104,3884,13,178,0,78,40,169,1,"2019-09-20 14:26:16"
"2019","2","3*3*1*","CS100004",17291173,8639,60.5,12.8,19.6,15,6.4,22.9,19.4,9.2,21.4,0,0,38.9,77.8,38.4,0,0,37.8,0,4.5,37.4,4.3,11.3,38.8,5888539,1312336,10492979,13200641,945591,22780051,4493955,1908601,0,0,0,57136655,91919064,22121387,75015009,25298320,25874405,50419,25473809,237284,979052,7552183,211268,90,236,46,1374,101,107,975,1250,198,0,3264,1239,1757,37,0,12,5,0,96,365,628,22,6396,4,"2019-09-20 14:26:16"
"2017","1","1*5*8","CS200003",86978510,1938,71.3,4,15.6,22.9,17.6,15.7,13.1,12.8,35.7,0,33.3,0,2.3,43.6,0,21.5,80,0,15,0.7,28.2,0,5,13823038,7164591,64072637,1302445,2672234,90590561,37227015,11735175,1577515,0,60692,74494621,0,11226371,9996604,510579535,16861913,1877251,892066,0,7821358,186051,10582013,29633,470,3382,1077,26,12533,8799,106,0,0,20,4,213,130,9,1364,0,0,1290,876,1271,295,0,1,"2019-09-20 14:26:16"
"2019","1","3*3*5*","CS100009",84135191,9087,94.2,39.5,6.1,11,18.6,0,0,4.3,12.7,0,0,31.8,18.6,22.8,0,66.1,35.4,0,25.6,23,18.6,30.8,7.6,59780728,18334000,0,8473751,259875,30822879,66632488,2753829,0,0,13519787,1620617,19708960,0,0,16250830,370037,0,1742759,5328016,46808579,11249876,16000115,88,111,1625,20,79,6,338,314,877,0,0,11126,2762,11,643,2101,5772,0,114,3322,231,71,1945,1,"2019-09-20 14:26:16"
"2013","2","9*1*","CS200010",260357729,62,65.2,4.5,30.4,23,16.6,28.8,19.7,3.3,18.4,0,6.6,0,8.9,37.9,0,47.4,32.6,0,15.1,4.3,40.5,22.2,8.5,9314501,35979894,1016479,4636373,18931218,54091001,14951225,9685745,9277015,39558602,0,134703231,12272711,7650293,97244556,8658399,1678756,0,0,7706338,12888555,2305476,43896773,569,121019,14,0,2945,7,26,12,70,5,0,0,46,83,3739,4458,1073,0,0,3380,651,6114,60,2,"2019-09-20 14:26:16"
"2013","3","2*1*4","CS300014",15954073,8923,83.9,0.1,66.7,17.7,25.5,14.4,24.8,0,14.4,0,8.1,40.6,19.3,41,16,28.9,70.8,0,70.8,0,26.2,100,2.3,19887801,25187068,11082802,8465166,4121513,3652823,3456374,12849780,13231817,0,0,37420779,15985242,17206488,169368,9354731,150961361,0,9259197,50494927,262719,450504361,12086012,40,842,0,2425,21,6138,806,533,134,0,5447,108,12,4588,294,2261,8407,272,601,205,0,433,137,4,"2019-09-20 14:26:16"
"2017","1","3*4*5*","CS200018",241123704,85,49,38.2,0,16.7,15.5,18.3,13.8,13.2,30.3,0,0.9,26.1,18.3,17.9,18,45,41.5,1.4,22,36.5,13.9,22.4,8.9,1854546,65561817,1137690,0,0,6557971,24251179,4294006,1210997,0,0,4743739,0,14033468,505202,87819139,6569569,0,2484106,8859712,25207972,218626,568679,3135,55,316,73,577,50,77,108,21,3609,0,1076,25301,958,456,75,12653,0,484,1318,73,861,5557,1,"2019-09-20 14:26:16"
"2019","1","2*6*5*","CS300002",111571808,11795,62.5,6.5,15.3,17.1,23.7,18.8,17.3,15.8,15.7,2.8,0,29.4,51.5,22.3,24.6,66.2,2,0,3.5,0,37.1,0,9.7,11884837,16201850,0,2588258,8278265,95858706,411245,5003472,1800336,106374,334130,51863821,12836409,85228900,0,23563377,6899045,0,6686427,32757,29933654,0,0,30,1762,981,194,104,3273,231,329,116,0,7,702,2608,1983,209,250,81,0,172,6,3632,39,5498,1,"2019-09-20 14:26:16"
"2018","3","2*0*0*","CS100001",4304179,233,84.4,100,15.7,19.4,7.4,11.9,12,15.6,7.9,0,3.3,20.8,0,19,23.3,45.4,42.6,8.4,18.1,0,16.7,35.3,4.3,21394441,888724,4002789,16622118,52554741,363367,4332525,17597849,0,0,26545431,0,44822176,14676383,0,5602847,233681331,1188534,4046363,0,3271985,1621371,0,7246,2288,8909,184,246,175,184,176,155,0,1197,0,98,12658,30,67,1400,560,99,26,253,3237,16,1,"2019-09-20 14:26:16"
"2013","2","1*5*8*","CS200016",7673620,3817,68.8,25,25.8,17.6,14.4,16.3,9.2,0,19.8,0,4.6,32.9,13.7,33,0,78.8,35.3,0,0,15.6,0,26,11.7,73111893,69782735,851229,5888580,11188616,139866444,64871123,1038135,9629019,18355,0,16918757,0,18704812,0,0,15405895,283310,69750,401276,18245025,4455496,2486806,171,75,712,859,91,4,82,765,228,250,1443,1884,166,65,0,19,11098,0,77,93,253,591,484,2,"2019-09-20 14:26:16"
"2018","4","3*4*8*","CS200005",80456175,392,71,36.9,16.2,22.4,26.3,0,0,24.1,14.9,0,0,0,41.2,20.1,0,97.2,22.4,0,5.6,53.6,16.4,12.4,0,15196692,191744225,5429785,9935656,6610209,7388265,0,8997643,16542373,0,0,3950671,1784881,2603150,0,22302237,9288810,0,319765372,328706,3551215,3199378,71196204,326,8265,5937,640,10,39,0,29,1292,28738,0,6847,0,392,3227,2834,33366,20,0,74,4276,133,0,1,"2019-09-20 14:26:16"
"2014","1","1*5*7*","CS100010",680410377,143,85.1,25,0,16.7,10.5,7.4,13.2,22.4,13.5,0,21.6,25.3,33.3,30,22.7,61.5,35.2,6.6,8.2,22.6,19.7,10.5,19.1,224863474,126225746,679731,814815,3044649,43631247,20131464,500722,0,0,168483,0,2701606,34348276,0,739542911,1462806,110264663,4536293,23193639,44145694,16569663,19911597,1637,32,321,514,27,698,0,972,689,0,0,663,2929,250,185,21951,305,0,23,26,70,1402,30,1,"2019-09-20 14:26:16"
"2014","4","9*4*","CS300014",6976744,7594,84.4,24.1,11.1,14.2,23.6,12.4,13.2,16.2,0,0,18.1,0,34,25.4,10.9,75.9,30.5,0.8,11,19.8,22.5,22.7,18.2,78554704,2029171,3889648,1791112,765126,414464,129563314,48562139,1896137,0,0,0,0,4166820,161896642,4769925,15979819,0,5069665,2226353,40822747,8958038,0,2703,1144,133,164,1487,84,422,244,17,0,6583,109,42,80,239,2607,42275,0,44091,5577,129,0,0,1,"2019-09-20 14:26:16"
"2014","4","2*6*7*","CS100007",11889261,1644,100,14.5,0,16.1,16.3,15.5,28.7,19.9,55,0,3.6,11.1,0,71,0,72,46.9,0.6,8.3,6.6,14.5,23.4,3.3,451598,0,1144675,0,663517,824484,4769170,28013397,3160130,0,0,512079646,0,8505191,0,11892420,32779569,0,1457304,1263430,4105855,3020047,0,1185,15,12885,1260,35,57,7,342,49,123,51,0,1752,545,301,14306,503,25,718,214,159,111,96,2,"2019-09-20 14:26:16"
"2017","4","3*9*3*","CS200018",5940964,561,83.5,9.2,0,15.7,0,20.6,0,7.9,0,1.6,0,0,30.7,50,35.2,45.2,46.2,11,0,12.3,22.4,19.9,12.6,175686825,13686895,25982561,10416768,11187548,11011997,32674009,0,38105227,0,281957,1522064,9901636,42540978,0,26430084,1168628,0,3726549,16849341,5842285,10917782,6464703,463,81,385,0,688,1341,188,494,583,0,418,650,436,631,0,142,3498,0,0,40,35,921,197,3,"2019-09-20 14:26:16"
"2016","4","2*4*7","CS200012",111754621,2703,89.4,19.8,9.7,18.7,7.4,29.9,17.1,18.7,4.2,0,0,20,24.1,45,32.8,67.5,93.2,1.1,5.9,41.8,31.7,50,2.4,28257518,74702509,10731244,0,22796944,7988582,2455859,668234,9508460,22335341,0,5109283,23741702,35920811,29069033,8737245,9262155,384191,23715196,3248921,5280171,117281412,310144,15618,290,755,162,990,115,153,309,10699,0,7,1710,15913,0,0,71,283,0,0,3517,2347,0,22,2,"2019-09-20 14:26:16"
"2018","2","2*8*6*","CS200003",193242240,784,78,24.2,0,12.3,22.1,14.1,24.6,5,17.5,0,0,19.3,33.3,58.8,4.8,65.9,42.6,0.7,15.9,0,18.8,48.7,0.5,7932870,21650209,30141765,1830126,7312542,5644306,72976814,11903178,0,0,0,107066,1625686,13369958,0,163743628,4014278,0,127713,18412123,2153972,3702110,51498707,1700,9777,253,2277,275,377,132,106,0,0,54,1565,1321,1663,0,215,12505,5,51,226,96,1408,1623,2,"2019-09-20 14:26:16"
"2016","4","5*0*3*","CS200010",193293031,49,87.7,39.3,25,0,19.6,12,20.1,8.6,18,54,14.3,12.1,26.4,16.6,22.8,35.4,52.5,0,50.5,8.2,46.1,13.9,0,1688580736,9654554,12821884,1031273,2654032,51237656,93228578,3074008,1733142,0,0,0,0,15416494,3133238,1725490,664876,332858,2162274,33117794,1055709,7284596,4749507,3108,63,13549,59,22,4902,18,0,0,4954,0,7,30,198,12,1413,1208,63,12616,243,252,4662,15,2,"2019-09-20 14:26:16"
"2015","2","2*0*0*","CS300014",1899391,185,84.3,28,24.9,50,17.6,0,23.5,18.4,10.7,2.2,11.5,25.6,29.6,38.4,0,62.7,29.7,0.8,5,0,21.6,16.7,18.2,13425886,23643271,36865249,104583081,3746960,7821965,9909083,599704,2191850,18185621,0,132095571,0,4765532,2100043,15446099,4833070,650943,10326996,25410423,45287818,60941242,285393598,13523,999,2048,1804,17,244,184,2504,0,0,308,0,4,209,1156,544,3318,0,1884,315,234,10,318,2,"2019-09-20 14:26:16"
"2017","4","2*8*4*","CS100007",138270765,1320,79,18.6,27,30.5,10.9,15.9,13.7,15.5,0,0,0,12.9,15.4,32.5,0,100,62.1,0,35,25.9,36.9,26.6,1.1,62965032,5534784,0,81545884,59791782,920694,8661626,17804989,0,28931264,0,11687752,21666666,4478221,7363248,63581874,6282023,8284383,1456059,3126664,0,90471487,0,799,51223,374,0,18,3921,19,2558,453,0,5,3922,116,1587,709,315,33,0,94,146,473,147,42,2,"2019-09-20 14:26:16"
"2017","4","4*8*7*","CS100009",26181255,22137,100,23.1,0,14.4,12.9,8.8,15.2,6.5,12.9,38.2,0,29.4,1.3,48.3,0,46.9,85.3,0,6.2,15.5,17.8,20.1,9.5,1839453,4366621,52562288,0,14658479,21609759,145701856,0,199319,0,383316,0,0,9971540,7736523,5555556,124528131,326859,33698614,17791348,20637925,1690107,62571428,372,1976,79,105,58,94,136,260,17,0,0,472,0,8891,268,1527,38278,12,6,235,123,373,205,1,"2019-09-20 14:26:16"
"2016","1","1*7*1*","CS100001",1715963,4175,58.4,24.5,15.1,9.3,14.2,14.7,12,16.3,0,0,9.5,25,38.4,40.9,0,100,0,0,60.7,16,52.4,0,0,250427863,103162171,28053461,0,2687306,37162546,0,19365562,0,0,4268681,6334191,5549716,36899362,0,1812799,29046525,79876,3813389,991732,8069872,7055007,10535294,1887,3344,1370,361,205,177,212,460,939,0,0,98,0,12,660,1594,127,50,0,1888,361,659,552,5,"2019-09-20 14:26:16"
"2013","3","1*3*0*","CS100001",29373986,12885,100,0,15.8,23.3,17.5,14.9,12.6,16.5,12.3,0,2.8,12.5,41.1,12.5,59.6,56.1,48.5,0,3.2,21.3,39.3,27.9,7,186970756,43451168,234332996,45617897,21529091,1231742,13419291,5759582,294512,0,724637,91641,376250,10291913,38181987,4157308,0,4401054,4731864,32253834,30437812,7649352,28083490,38453,1542,0,616,0,245,394,19,0,91,0,4,877,0,7311,76,4929,8,0,544,94,1027,1519,20,"2019-09-20 14:26:16"
"2017","3","4*1*2*","CS100010",102930575,477,79,45.6,13.5,19.1,12.2,10.1,15.5,5.1,17.9,0,0,0,26.2,30.3,0,66.1,49.3,1,12.7,31.4,22.6,20.4,4,86985731,39453392,26407415,7859979,20586177,1237911,16486787,21534768,0,0,12923142,41446166,1468853,23008957,4481593,110504260,104212336,8704693,113227835,4765734,47211659,66387785,31345060,3726,0,633,294,5,908,1481,78,0,0,431,2683,0,29,7,956,23458,129,165,221,52,640,156,1,"2019-09-20 14:26:16"
"2016","1","3*7*3*","CS300002",111739801,693,67.6,33.7,0,13.7,5.6,14.4,16.8,16.7,21.1,0,8.3,81.6,9.8,24.8,0,24.6,53,0,44.7,25.1,18.9,9,5.5,407643376,18079149,74707305,2889697,16511548,7287834,6005371,0,4371571,0,2341027,23072210,859535,81278625,14557011,17032084,9350000,0,3270810,12492372,0,107055085,32671685,24854,283,0,864,10726,80,2373,798,19,0,0,9955,27,5,1624,1785,341,0,786,30,435,208,41,1,"2019-09-20 14:26:16"
"2019","1","1*8*0","CS300002",25770673,2317,58.7,3.8,18.8,12.4,14,13.7,10.6,17.5,18.5,20.8,18.2,30,1.4,12.9,36.7,83.3,8.5,3.9,29,25,9.9,60.6,10.6,495610544,7101876,1763657,5418322,7746680,17129841,22492756,4006546,0,0,0,7747202,81367703,169885207,0,1636012,12402694,0,201680,0,11649145,182733800,142137,30,4503,3686,77,175,31,272,506,40,0,0,0,909,264,2306,1424,178,0,5641,513,518,194,32,1,"2019-09-20 14:26:16"
"2016","1","2*7*4*","CS200005",122781960,1920,50.1,35.7,13.9,0,15.7,0,13,9.9,0,0,0,22.5,14.9,30.2,54.4,50,60.8,0,41.4,28,32.8,12.6,8.6,1509805,7603581,0,27450745,0,39116875,1516687,4341062,0,137903525,16696151,5162127,57752310,12804649,35048183,15015742,59044069,0,1370701,9733240,3401699,2586291,61563295,102,993,7936,2909,5102,308,217,1648,0,0,0,997,330,4807,0,1715,278,0,0,213,119,0,500,1,"2019-09-20 14:26:16"
"2018","4","3*4*3","CS100007",14247325,2627,61.9,14.8,19.7,16,16.7,10.1,16.7,37.8,6,0,0,17,23.7,29.5,7.4,42.5,59.5,0,8.7,15.9,20,12.1,7.1,100407366,4369521,86899605,5543803,17854006,159052971,0,1823914,440426,0,0,8066666,10001968,0,28491777,187141755,48632673,0,47107,40675272,25003072,197486172,1611015,4090,124,180,637,17,63,48,0,388,0,0,1588,4046,3174,0,3354,724,0,0,4242,0,333,1475,5,"2019-09-20 14:26:16"
"2014","4","2*6*9","CS100001",42720806,8312,100,34.4,16.9,16.8,11.9,3.9,17,0,17.3,17,7.4,5.1,3.3,0,9.7,39.2,66.9,0.2,32.5,14.1,24,31,22,13497590,13758137,11725507,19280562,3379643,30395,173563,98200077,0,0,0,47244094,5912460,18877726,0,70198311,141940287,25044,19906831,17262522,1561650,2825083,1751273,5358,10,3260,0,32,68,383,273,2815,593,0,79,111,263,6,16379,48657,0,601,27899,733,30,0,4,"2019-09-20 14:26:16"
"2013","2","3*9*2","CS200006",1455637648,200,100,12.4,14.8,12.8,17.7,0,17.4,11.9,0,0,0,10.1,40.6,34,0,61.8,60.4,0.2,48.4,15.1,18.4,20.8,36.1,56643700,9339273,0,8008101,429291,492158,54372170,11869861,180880099,13424283,4788023,140369766,0,13497714,36836879,1784512,59765252,0,1616520,43168080,21018865,281690,1288187,368,5795,636,128,1974,257,134,201,0,2275,84,433,3,72,0,64,2794,0,0,48,3416,2288,0,0,"2019-09-20 14:26:16"
"2019","1","1*9*6","CS100005",13858936,116,88,17.2,15.2,12.8,13.9,14.7,0,23.2,0,0,0,0,77.8,38.1,10.3,22.5,53.9,1,19,27.5,29.7,3.8,16.7,90893545,94873324,15551954,6913911,1040190,57631533,0,19633235,0,386747,4137850,30910666,12234880,15389071,16715620,272336649,121989812,1151003,7647893,7993294,146295609,1160263,2155340,186,263,338,13074,1774,2213,14,230,7620,7399,654,408,1609,2232,41,384,5483,1365,1465,61,2961,1467,0,2,"2019-09-20 14:26:16"
"2017","4","3*8*6*","CS100010",98798589,600,63.3,1.9,0.7,4.8,15.6,25.3,6.8,29.8,0,11.2,0,2.7,22.6,36.5,0,93.7,42.8,0.1,29.2,22.5,32.6,19.7,19.7,147571880,24409641,4015468,4777483,3029766,21433248,22781229,1097602,51310589,0,14946505,20416986,4040056,1067065,76221570,233717338,119600674,89395,1296583,33900996,1177177,32472105,2491772,5140,974,473,896,1075,217,0,82,30,161,12197,544,594,450,845,36,2157,0,10,1037,2257,2687,0,10,"2019-09-20 14:26:16"
"2017","2","1*5*7*","CS300009",673566739,61561,100,19,10.8,20.3,14.7,17.5,32.3,3.3,1.2,7.2,0,7.5,14.3,15.8,0,24.8,63.8,0.2,0,26.5,0,19.3,19.7,37389687,7944316,0,3295045,666667,29457534,11692623,116823863,1738407,25639314,4415735,54576903,10218140,0,8852046,151366568,338536894,747540,188283809,898732,9311468,32185917,679877,11030,348,48,344,953,221,482,361,9,0,371,0,28,98,436,1174,86,25,0,138,2016,137,380,2,"2019-09-20 14:26:16"
"2013","3","2*0*1*","CS300002",1035217112,109,73.3,9.1,17.4,15.2,0,11.3,14.9,23.4,0,0,0,17.1,32.8,44,10.2,74.5,61.8,0,11.8,27.8,20.5,8.3,4.5,53890915,2995411,2875207,0,3475331,4676098,768018,15498732,13976943,5835293,1498580,1668395,41902753,272221220,19562937,0,9836720,0,0,18731834,65340492,7512683,5300722,1554,66,117,0,8,54,6,0,550,0,0,22,647,11,6,2844,920,0,13858,84,87,345,35,1,"2019-09-20 14:26:16"
"2017","2","2*6*5*","CS200001",8669656,4037,72.4,0,13.4,21,20.2,15.7,15.2,35,8.3,0,2.8,32,22.6,22.9,14.7,67.2,31.9,1.9,53.9,34.1,6.1,14.4,0,136906455,0,22371351,14513721,34923097,12985515,22317328,25247878,0,0,133835,412096,5148932,554170,1016340,18154385,936026,0,15006583,43411994,972482,10351422,0,121,0,3920,24,9642,119,169,1235,0,288,0,533,460,24,0,268,599,0,15,8603,92,5443,1000,2,"2019-09-20 14:26:16"
"2017","3","2*4*6","CS300016",19160118,1893,68.8,29.7,17.8,11.5,17.6,21.3,19.5,38.9,0,0,0.2,76.8,18.7,0,41.6,47.9,66.7,0,36.5,20.8,15.9,13.7,8.4,20827607,0,23882689,49997642,791784,2475283,416278,0,0,22875079,0,6131424,3096420,39189745,0,94976882,33937901,320806,27490664,218751,1198476,0,501583,948,223,258,0,16,79,18,2850,26,0,230,71,2076,887,0,146,698,365,0,40,19,19,383,1,"2019-09-20 14:26:16"
"2019","1","2*3*1*","CS200010",392003089,4096,21.6,31.5,0,9.2,9,11.5,15.9,13.5,15.3,0,8.5,11,37.9,18.4,0,57.9,29.6,0.8,29.9,12.8,17.3,41.7,62.9,50977623,77965183,16738866,63390946,3295172,119863200,430299,25492266,1359649,0,0,1532682802,16462621,50369629,0,67291928,76752947,0,0,0,86718363,60967532,40854615,1101,511,139,4195,319,1738,3669,1878,66,0,3799,559,269,3609,6,334,474,0,472,77,1966,163,18,1,"2019-09-20 14:26:16"
"2019","1","1*7*1","CS300002",25806892,5887,73.4,32.6,0,14.4,19.6,6.1,16.2,25,14.6,0,6.1,23.9,18,34.3,0,58.7,34.7,0,14.1,8.3,14.1,24.4,3.8,103037832,2829919,4944992,0,80409475,28498202,2579593,3441090,2228547,0,0,8477312,14448847,68031530,474317679,12801890,5892313,0,115514356,14050495,71597713,28532210,138938142,3177,10666,2731,22,70,223,1604,9193,173,1080,329,0,4369,1473,968,1255,442,0,9297,81,282,111,7,1,"2019-09-20 14:26:16"
"2014","2","2*1*3*","CS300008",398212823,1430,89.7,31.8,19.5,0,20.4,0,19.2,21.7,20,0,0,0,17.6,25,0,63.2,55.7,0,11.2,23.2,26.5,56.4,13.4,2108609,30266230,0,98299,69912178,6614588,3372520,12047478,175072,0,0,0,3905444,44147330,26048982,28023422,4153321,0,201521504,47146843,527461,101230727,2187185,2604,125,20,409,231,97,134,641,0,12,3425,1978,25,633,3591,16,0,0,28,7679,1514,3050,52,3,"2019-09-20 14:26:16"
"2018","1","3*3*0*","CS200003",190478663,33,60.6,15.9,17.1,14,11.1,13.2,8.9,20.3,7.9,0,18.6,9,100,23.9,27,73.3,25.5,0,5.8,26,6,0,6.4,201283008,0,266911,18389251,6318551,17285046,20569142,14955699,1690027,0,35732,1116646,9609116,4127474,82942842,198300790,113161940,0,1231039,11270860,3692333,8644908,5619011,181,886,43,25,8080,2814,1487,0,0,0,44,757,187,7534,12211,642,1839,0,1084,818,7880,193,66,5,"2019-09-20 14:26:16"
"2016","3","3*1*7*","CS100006",25402528,2239,72.5,0,6.7,22.5,14.3,14.6,13.1,11.2,16.6,0,11.7,73.3,16.4,38,0,40,35.9,0,16.7,37.6,13.3,11.9,26.2,151133342,8021482,9390244,15831598,142421571,2461538,63008511,82805880,48859042,0,0,31504471,14355952,30925381,0,110265256,777563,0,3425209,6255505,2192757,76569728,393529,3022,204,46,210,0,6,702,391,374,0,325,7114,0,165,1063,4092,2390,40,18,0,60,47,66,1,"2019-09-20 14:26:16"
"2017","1","2*8*0*","CS200006",9991188,689,86.6,24.1,29.9,17.7,0,17.2,9.4,0,6.6,0,0,29,28,66.7,11.7,93.5,21.7,0.9,9.3,0,13.9,6.7,22.9,25161917,20249540,14682844,0,13760436,22851461,18976937,0,706885,0,2755116,103243123,3783609,5860039,0,14983237,108761507,404740,1696713,78212144,23975022,0,5044386,67964,2073,572,350,251,6,570,2741,0,68,9,299,405,988,0,16,396,0,135,23943,4300,808,13,1,"2019-09-20 14:26:16"
"2017","4","2*8*2*","CS100001",117518342,885,62.9,29.9,11.7,9.9,16.9,17.8,27.2,16.9,0,0,0,24.7,0,27.6,3.2,32.8,28.3,0,27.3,29.2,23.1,24.5,4,1227161,41340258,20236100,3967417,849515,953680,20687939,0,45285085,0,4445517,13767350,7477573,45143995,29423,27801078,430842616,0,2144902,0,42100585,0,25970908,10,463,298,470,37,369,2894,25,0,0,16725,20,852,940,377,386,231,0,172,315,162,98,0,1,"2019-09-20 14:26:16"
"2014","1","2*2*4*","CS100009",3457884,2435,92.8,27.3,13.9,33.3,0,4.1,16.2,26.8,21,0.4,0.3,16.6,27.1,0,0,52.6,42.6,0,12.3,16.7,0,10.5,13.8,65031040,3967492,11635395,0,1549364,570676,27899913,29553032,25557893,16098958,12982120,158863358,24862295,380009,15966955,7466360,13906458,0,379068341,4313904,2170380,13897423,2172947,32714,555,0,4,89,9,0,342,1015,0,0,36,0,84,130,481,1993,0,7624,236,808,124,71,1,"2019-09-20 14:26:16"
